hrhhid2,gestfips,hefaminc,hwhhwgt,helaptop,hedesktp,hetablet,hemphone,heinhome
15011,12,14,5587.0192,1,2,1,1,1
15011,12,9,4851.5675,2,2,2,2,2
15011,12,15,5050.6867,1,2,1,1,1
15011,12,12,5232.5434,1,2,1,1,1
15011,12,14,8524.7588,1,1,1,1,1
15011,12,3,4725.251,2,2,2,2,2
15011,12,9,4124.9658,1,2,2,1,1
15011,12,13,4380.0408,1,2,2,1,2
15011,12,6,4186.1792,2,2,1,1,1
15011,12,4,8040.4891,2,2,2,2,2
15011,12,8,5966.9159,1,1,2,1,1
15011,12,16,5080.6084,1,2,1,1,1
15011,12,9,5212.4203,1,2,1,1,1
15011,12,13,4541.0269,1,2,2,1,1
15011,12,13,5872.0786,1,2,1,2,1
15011,12,13,5405.5639,1,2,1,1,1
15011,12,13,5492.9023,1,2,1,1,1
15011,12,12,4876.8348,1,2,1,1,1
15011,12,6,4891.8586,2,2,2,1,2
15011,12,9,4851.5675,2,2,2,1,1
15011,12,5,4853.5544,2,2,2,1,2
15011,12,11,4124.9658,1,2,1,1,1
15011,12,6,4186.1792,2,2,2,2,2
15011,12,10,5281.5926,1,2,2,1,1
16011,12,10,4465.3782,2,2,2,2,2
16011,12,10,4325.9482,1,1,2,2,1
16011,12,14,5563.2022,2,1,1,1,1
16011,12,14,5488.8773,1,1,1,1,1
16011,12,1,4309.4183,2,2,2,1,1
16011,12,14,5388.5301,1,2,1,2,2
16011,12,2,4793.8358,2,2,2,2,2
16011,12,3,4793.8358,2,2,2,1,2
16011,12,9,4332.366,2,2,1,1,1
16011,12,6,4733.2961,2,2,2,2,2
16011,12,7,4958.5981,1,1,2,2,1
16011,12,12,4990.4501,1,2,2,1,1
16011,12,12,3950.5449,2,2,2,2,2
16011,12,10,4668.7768,1,2,2,1,1
16011,12,13,4506.2917,2,2,2,1,1
16011,12,3,4323.6183,1,2,2,2,2
16011,12,2,4323.6183,2,2,2,2,2
16011,12,7,5034.2236,2,2,2,2,2
16011,12,12,4209.1112,1,1,2,1,1
16011,12,15,3421.6817,2,2,2,2,2
15011,12,14,3849.7194,1,1,1,1,1
15011,12,14,4675.0673,1,1,2,1,1
15011,12,5,7128.6426,2,2,2,1,2
16011,12,10,4886.4049,1,1,2,2,1
16011,12,8,3974.4429,1,2,2,1,1
16011,12,16,4067.7447,2,2,1,1,1
16011,12,11,9750.5523,1,2,1,1,1
16011,12,16,4090.9985,1,2,2,1,1
16011,12,15,5053.2815,2,2,1,1,1
16011,12,2,3813.3292,2,2,2,2,2
15011,12,4,3761.5787,1,2,2,1,1
15011,12,11,4275.6943,1,2,2,1,1
15011,12,4,4275.6943,1,2,1,1,1
15011,12,16,5076.0908,1,2,1,1,1
15011,12,11,3756.2381,1,2,1,1,1
15011,12,14,3710.7934,1,2,2,1,1
15011,12,14,3710.7934,2,2,2,2,2
15011,12,9,4452.559,2,2,2,1,2
15011,12,5,4512.8975,2,2,2,2,2
15012,12,3,11669.5375,2,2,1,1,1
15011,12,12,4015.2863,1,2,1,1,1
15012,12,12,4103.5252,1,2,1,1,1
15011,12,6,6648.4953,1,2,1,1,1
15012,12,3,6019.6312,2,2,2,1,1
15011,12,14,5856.4181,1,1,1,1,1
15012,12,2,3971.0238,2,2,2,2,2
16011,12,8,4201.4325,2,2,2,1,1
16011,12,14,4037.3611,1,1,2,1,1
16011,12,8,4345.2163,2,2,2,1,1
16011,12,9,4206.7542,2,2,2,1,2
16011,12,14,7827.9261,1,1,1,1,1
16011,12,15,3650.9616,2,2,1,1,1
15012,12,7,4319.8309,1,2,2,1,1
15011,12,8,3531.6079,2,2,2,1,1
15011,12,9,4835.848,2,2,2,1,2
15011,12,11,3661.7844,2,2,2,1,1
16011,12,8,3617.9918,2,1,2,1,1
16011,12,5,4527.3433,2,2,1,1,1
16011,12,14,4283.7154,1,2,2,1,1
16011,12,10,3149.5463,2,2,2,1,2
16011,12,7,3149.5463,1,2,2,1,1
16011,12,6,4047.8249,1,2,2,1,1
16011,12,16,5497.697,1,1,1,1,1
15011,12,16,5079.3139,1,2,2,1,1
15011,12,15,4298.2116,1,1,2,1,1
15011,12,8,3993.7544,1,2,2,1,1
15011,12,8,4319.8309,1,2,2,1,1
15011,12,8,4483.7609,2,2,2,1,1
15012,12,3,7921.3926,2,2,2,2,2
15011,12,9,5971.1106,2,2,1,1,1
16011,12,15,3802.1734,1,1,1,1,1
16011,12,14,3107.0241,1,1,1,1,1
16011,12,1,4514.3401,1,2,1,1,1
16011,12,16,3481.6269,2,2,1,1,1
16011,12,6,4704.9877,2,2,2,1,1
15011,12,15,4191.5287,1,2,2,1,1
15011,12,1,4971.7517,1,2,1,1,1
15011,12,14,3708.5125,1,2,1,1,1
15011,12,11,3598.021,1,1,1,1,1
15011,12,6,3574.4384,2,2,2,1,1
15011,12,4,5122.9761,1,2,1,1,1
16011,12,5,4612.4816,1,2,2,1,1
16011,12,11,4612.4816,1,1,2,1,1
16011,12,11,3825.1989,1,2,1,1,1
16011,12,11,4353.2145,1,1,2,1,1
16011,12,13,3941.6039,2,2,2,2,1
15011,12,14,5206.1941,1,2,1,1,1
15011,12,14,6112.086,1,2,1,1,1
16011,12,7,3878.6534,1,1,2,1,1
15011,12,12,3537.5249,2,1,1,1,1
15011,12,11,4674.5101,1,2,2,1,1
15011,12,10,3130.0256,1,2,2,1,1
15011,12,11,5089.3714,1,2,2,1,1
15011,12,13,9769.7853,1,1,1,1,1
15011,12,9,3844.8699,1,2,2,1,1
15011,12,14,3736.9783,1,2,2,1,1
16011,12,16,4569.5331,1,1,1,1,1
16011,12,15,4107.4935,1,2,1,1,1
16011,12,11,4063.1629,1,2,2,1,1
16011,12,2,3936.0255,1,2,2,1,1
15011,12,16,4242.0262,1,1,1,1,1
15011,12,16,4124.8908,1,2,2,1,1
16011,12,12,4405.9863,1,2,1,1,1
16011,12,16,4625.0065,2,2,2,2,2
16011,12,2,4189.8645,1,2,1,1,1
16011,12,14,4675.5618,2,2,2,2,2
16011,12,12,4611.3118,1,2,1,1,1
16011,12,14,3205.8464,2,2,2,1,1
16011,12,11,3941.6039,2,2,2,2,2
16011,12,10,3248.0003,2,2,2,2,2
15011,12,16,4165.4058,1,2,1,1,1
15011,12,14,3799.2958,1,1,2,1,1
15011,12,12,5309.841,1,2,2,1,1
15011,12,9,3771.0615,1,2,1,1,1
16011,12,13,4660.9935,1,1,2,1,1
15011,13,12,5002.3284,2,2,2,1,1
15011,13,14,4457.9211,1,1,1,1,1
15011,13,11,4013.6347,1,1,1,1,1
15011,13,7,4541.7536,1,1,1,1,1
15011,13,15,4078.3522,1,1,1,1,1
15011,13,6,4630.1114,2,2,2,1,1
16011,13,12,4652.7473,2,2,1,1,1
16011,13,11,5203.4567,1,2,1,1,1
15011,13,15,3830.7421,1,2,2,1,1
15011,13,16,4735.2904,1,2,2,1,1
15011,13,12,4394.9578,1,2,1,1,1
15011,13,10,4143.3059,2,2,2,1,2
15011,13,6,3206.4734,1,2,1,1,1
16011,13,6,3578.4503,2,2,2,2,2
16011,13,1,4363.4036,2,2,2,1,2
16011,13,6,3927.483,2,1,2,1,1
16011,13,9,3634.0218,1,2,1,1,1
15011,13,15,4586.4307,2,2,2,2,2
16011,13,11,4213.7522,1,1,1,1,1
16011,13,15,4500.3037,1,1,1,1,1
16011,13,16,3690.9033,1,1,2,1,1
16011,13,13,5050.3042,1,2,2,1,1
16011,13,15,4751.3017,2,2,2,1,1
16011,13,16,5948.6166,1,1,2,1,1
16011,13,8,5411.7599,2,2,1,1,1
15011,13,14,5190.6482,1,2,1,1,1
15011,13,14,5232.9098,2,2,1,1,1
15011,13,14,4685.5909,1,2,2,1,1
16011,13,15,4868.0101,1,2,2,1,1
16011,13,5,5707.0631,1,1,1,1,1
16011,13,4,6002.6104,1,2,1,1,1
16011,13,16,6532.6808,1,1,1,1,1
16011,13,14,4567.743,2,1,1,1,1
15011,13,14,4566.5924,1,2,1,1,1
15011,13,14,7414.2744,1,2,2,1,1
15012,13,9,7414.2744,1,2,2,1,1
15012,13,10,6983.5989,1,2,1,1,1
16011,13,13,5419.2693,2,1,2,1,1
16011,13,13,5419.2693,1,1,2,1,1
16011,13,10,3806.6592,1,1,2,1,1
15011,13,8,5128.0586,2,2,2,1,1
15011,13,4,3307.4585,2,2,2,2,1
15011,13,8,3113.062,1,2,2,1,1
16011,13,11,4431.1649,1,2,1,1,1
16011,13,1,2638.3479,2,2,2,2,2
16011,13,6,5356.3418,2,2,2,1,1
15011,13,10,5667.3949,2,2,1,1,1
15011,13,10,4953.2906,2,2,2,1,2
15011,13,9,4953.2906,2,2,2,1,2
16011,13,9,5899.4035,1,2,2,1,1
15011,13,12,5722.3942,1,2,2,1,1
16011,13,15,6067.2342,1,2,2,1,1
16011,13,16,7470.6866,1,1,2,1,1
16011,13,12,6634.7999,1,2,1,1,1
16011,13,13,8346.3986,1,1,1,1,1
16011,13,11,6330.15,1,1,2,1,1
16011,13,9,8480.9791,1,2,2,1,1
15011,13,11,3720.3518,1,1,1,1,1
15011,13,13,3756.1272,1,2,2,1,1
15011,13,2,4185.5115,2,2,2,2,2
16011,13,15,3889.4226,2,2,2,1,1
15011,13,16,6255.4466,1,2,1,1,1
15011,13,13,5081.9587,1,1,1,1,1
15011,13,14,3307.4585,1,2,2,1,1
16011,13,2,4584.2616,2,2,2,1,1
15012,13,12,6617.6471,2,2,2,1,2
15011,13,15,4302.6185,1,1,1,1,1
15011,13,12,4675.1013,1,1,2,1,1
16011,13,2,5556.3169,2,2,2,2,2
16011,13,12,8042.1174,1,1,2,1,1
16011,13,15,8042.1174,1,1,2,1,1
15011,13,16,7755.5382,1,2,1,1,1
15011,13,14,5629.0161,1,1,1,1,1
16011,13,15,5404.4518,1,1,1,1,1
16011,13,10,5990.7594,1,2,2,1,1
16011,13,13,4799.9806,1,1,1,1,1
15011,13,16,6042.5512,1,1,2,1,1
15011,13,13,11137.2067,1,1,2,1,1
16011,13,16,5148.4147,1,2,1,1,1
16011,13,15,5579.9166,1,1,2,1,1
16011,13,12,6043.6403,1,2,2,1,1
16011,13,11,6172.9371,1,2,2,1,1
16011,13,11,7828.5668,2,2,2,1,1
16011,13,9,4873.4251,2,2,2,1,1
15011,13,9,5283.2741,2,2,2,1,1
15011,13,1,8470.3374,2,2,2,1,2
15011,13,9,4917.5648,1,1,1,1,1
15011,13,11,5333.5533,2,2,2,1,1
15011,13,14,5499.7229,1,1,2,1,1
15011,13,10,6328.9617,2,2,1,1,1
16011,13,14,7049.469,1,2,2,1,1
16011,13,15,7248.0294,1,1,1,1,1
16011,13,6,5576.0154,1,2,2,1,1
15011,13,12,4663.456,2,2,2,1,1
16011,13,9,3643.6684,1,2,2,1,1
16011,13,10,4924.7651,2,2,1,1,1
15011,13,15,2880.488,1,2,1,1,1
15012,13,14,6046.1023,1,1,1,1,1
15011,13,9,3703.1363,2,2,2,1,1
16011,13,12,4653.1092,1,1,2,1,1
15011,13,12,4144.4085,1,1,1,1,1
15011,13,13,5362.0166,1,1,1,1,1
15011,13,13,4020.9859,1,2,2,1,1
15011,13,11,4589.5287,2,2,2,2,1
15011,13,12,5512.0169,2,2,2,2,1
16011,13,16,5184.2641,1,2,1,1,1
15011,13,14,5049.6403,1,2,2,1,1
15011,13,15,4110.6084,1,2,1,1,1
