hrhhid2,gestfips,prtage,pesex,peeduca,hefaminc,pemlr,ptdtrace,pwsswgt,pwprmwgt,pelaptop,pedesktp,petablet,pemphone,peinhome
16011,9,24,2,43,16,1,1,3878.781,0,1,2,1,1,1
15011,9,77,2,46,16,5,1,2275.1568,3432.9479,1,2,2,1,1
15011,9,85,1,46,16,5,1,2096.4427,0,2,1,1,1,1
15011,9,72,2,39,3,5,1,3913.5302,0,2,1,2,2,2
15011,9,76,1,39,3,5,1,3068.0751,0,2,1,2,2,2
15011,9,73,1,40,9,5,1,3024.5851,0,2,2,2,1,2
15011,9,74,2,40,9,5,1,2335.6944,3524.2921,2,2,1,1,1
15011,9,52,2,43,16,1,1,3027.3438,0,1,2,2,1,1
15011,9,53,1,43,16,1,1,3291.9593,0,1,2,2,1,1
15011,9,23,1,43,16,2,1,3652.9214,0,1,2,2,1,1
15011,9,23,2,44,16,2,1,3942.3386,13310.6153,1,2,2,1,1
16011,9,40,2,40,10,1,1,2599.3462,4974.3693,2,2,1,1,1
16011,9,42,1,39,10,1,1,3178.6839,0,2,2,1,1,1
16011,9,12,1,-1,10,-1,1,2778.0458,0,2,2,1,1,1
16011,9,11,1,-1,10,-1,1,3431.7672,0,2,2,1,1,1
15011,10,66,2,40,13,5,2,723.1052,0,1,1,1,1,1
15011,10,85,2,41,13,5,2,723.1052,1037.5214,1,2,1,1,1
15011,10,63,2,41,14,5,1,705.6438,1274.2985,2,2,1,2,1
15011,10,67,1,39,14,5,1,733.7101,0,2,2,1,2,1
16011,10,76,2,40,13,1,1,687.8282,1037.853,2,1,2,2,1
16011,10,69,2,40,8,5,1,692.9502,1045.5815,1,2,1,1,1
16011,10,33,1,34,11,1,3,1570.7783,0,2,2,2,1,1
16011,10,29,2,39,11,7,3,1092.4266,2203.3868,2,2,2,1,1
16011,10,10,2,-1,11,-1,3,1291.1571,0,2,2,2,2,2
16011,10,5,2,-1,11,-1,3,1184.1317,0,2,2,2,2,2
16011,10,63,2,39,8,6,7,829.7993,0,2,1,2,2,2
16011,10,63,1,37,8,5,3,977.5357,0,2,1,2,2,2
16011,10,37,2,40,7,1,2,724.6757,1206.5275,1,2,2,1,1
16011,10,7,2,-1,7,-1,2,715.2681,0,1,2,1,2,1
15011,10,30,2,43,13,1,2,1000.1746,1729.3957,1,2,1,1,1
15011,10,72,1,43,14,5,2,727.0218,1197.187,1,2,1,1,1
15011,10,73,2,40,14,5,2,705.1745,0,2,2,1,1,1
15011,10,74,1,43,15,5,1,654.2696,1035.5777,1,1,2,2,1
15011,10,75,2,41,15,5,1,700.7573,0,2,2,1,1,1
15011,10,41,1,44,15,1,1,961.9464,1767.0039,1,2,2,1,1
15011,10,37,2,44,15,1,1,877.9472,0,1,2,2,1,1
15011,10,4,1,-1,15,-1,1,899.3025,0,2,2,2,2,1
15011,10,3,2,-1,15,-1,1,644.2608,0,2,2,2,2,2
15011,10,26,2,43,7,1,1,991.781,1899.2705,1,2,1,1,1
15011,10,72,2,39,5,5,1,623.9857,0,2,2,2,2,2
15011,10,56,2,39,13,1,1,745.6652,1346.5718,2,1,1,1,1
15011,10,36,2,43,15,1,2,1102.1338,2407.1032,1,2,2,1,1
15011,10,65,2,40,14,1,1,619.5486,0,2,2,1,1,2
15011,10,44,1,39,15,1,1,1022.0659,0,2,2,1,1,1
15011,10,39,2,41,15,1,1,999.6547,1913.0394,2,2,1,1,1
15011,10,9,1,-1,15,-1,1,885.0929,0,1,2,1,2,1
15011,10,7,1,-1,15,-1,1,761.2254,0,1,2,1,2,1
15011,10,62,1,41,16,5,2,982.4749,0,2,1,2,1,1
15011,10,54,2,44,16,1,2,962.1814,2118.1643,1,1,2,1,1
15011,10,23,1,40,16,1,2,785.1269,0,2,1,2,1,1
15011,10,37,1,44,16,1,2,913.1409,0,1,1,1,1,1
15011,10,31,2,43,16,1,2,1075.1997,1859.1212,1,2,1,1,1
15011,10,45,2,43,13,1,2,853.6315,1434.393,1,1,1,1,1
15011,10,54,1,39,13,5,2,826.8404,0,1,1,1,1,1
15011,10,70,2,39,13,1,1,665.1802,1003.6798,1,2,2,1,1
15011,10,67,2,44,11,5,1,705.9755,1065.2352,1,2,1,1,1
15011,10,60,2,39,9,1,2,824.949,1325.4652,1,2,2,1,1
15011,10,64,2,42,10,1,1,639.5559,1154.9526,1,1,2,1,1
15011,10,71,2,41,12,5,1,771.4403,1164.014,1,2,1,1,1
15011,10,29,1,44,16,1,1,1262.2721,2311.7555,1,1,2,1,1
